color_name,hex,png_file,svg_file
black,#111111,png/basisremy_mouse_black.png,svg/basisremy_mouse_black.svg
charcoal,#263946,png/basisremy_mouse_charcoal.png,svg/basisremy_mouse_charcoal.svg
dark_gray,#4A555A,png/basisremy_mouse_dark_gray.png,svg/basisremy_mouse_dark_gray.svg
slate_blue,#334D5C,png/basisremy_mouse_slate_blue.png,svg/basisremy_mouse_slate_blue.svg
navy_blue,#004B6B,png/basisremy_mouse_navy_blue.png,svg/basisremy_mouse_navy_blue.svg
royal_blue,#1554D1,png/basisremy_mouse_royal_blue.png,svg/basisremy_mouse_royal_blue.svg
medium_blue,#248EC9,png/basisremy_mouse_medium_blue.png,svg/basisremy_mouse_medium_blue.svg
sky_blue,#4DB1D8,png/basisremy_mouse_sky_blue.png,svg/basisremy_mouse_sky_blue.svg
light_blue,#8DD9F0,png/basisremy_mouse_light_blue.png,svg/basisremy_mouse_light_blue.svg
cyan,#16BCD4,png/basisremy_mouse_cyan.png,svg/basisremy_mouse_cyan.svg
teal,#0E9F92,png/basisremy_mouse_teal.png,svg/basisremy_mouse_teal.svg
turquoise,#22B8A8,png/basisremy_mouse_turquoise.png,svg/basisremy_mouse_turquoise.svg
emerald_green,#21B45B,png/basisremy_mouse_emerald_green.png,svg/basisremy_mouse_emerald_green.svg
green,#1FAD4B,png/basisremy_mouse_green.png,svg/basisremy_mouse_green.svg
forest_green,#176B35,png/basisremy_mouse_forest_green.png,svg/basisremy_mouse_forest_green.svg
lime_green,#75B900,png/basisremy_mouse_lime_green.png,svg/basisremy_mouse_lime_green.svg
olive_green,#808A00,png/basisremy_mouse_olive_green.png,svg/basisremy_mouse_olive_green.svg
yellow_green,#A6D522,png/basisremy_mouse_yellow_green.png,svg/basisremy_mouse_yellow_green.svg
mint_green,#80D8BA,png/basisremy_mouse_mint_green.png,svg/basisremy_mouse_mint_green.svg
pale_green,#9ED8AE,png/basisremy_mouse_pale_green.png,svg/basisremy_mouse_pale_green.svg
yellow,#F6C600,png/basisremy_mouse_yellow.png,svg/basisremy_mouse_yellow.svg
golden_yellow,#F4B900,png/basisremy_mouse_golden_yellow.png,svg/basisremy_mouse_golden_yellow.svg
orange,#F97316,png/basisremy_mouse_orange.png,svg/basisremy_mouse_orange.svg
deep_orange,#F4511E,png/basisremy_mouse_deep_orange.png,svg/basisremy_mouse_deep_orange.svg
coral,#FF5A5F,png/basisremy_mouse_coral.png,svg/basisremy_mouse_coral.svg
red,#D71920,png/basisremy_mouse_red.png,svg/basisremy_mouse_red.svg
crimson,#B00020,png/basisremy_mouse_crimson.png,svg/basisremy_mouse_crimson.svg
pink,#F65393,png/basisremy_mouse_pink.png,svg/basisremy_mouse_pink.svg
hot_pink,#EC4899,png/basisremy_mouse_hot_pink.png,svg/basisremy_mouse_hot_pink.svg
magenta,#D92B83,png/basisremy_mouse_magenta.png,svg/basisremy_mouse_magenta.svg
lavender,#A77BD8,png/basisremy_mouse_lavender.png,svg/basisremy_mouse_lavender.svg
purple,#8A2BB0,png/basisremy_mouse_purple.png,svg/basisremy_mouse_purple.svg
deep_purple,#5E2A84,png/basisremy_mouse_deep_purple.png,svg/basisremy_mouse_deep_purple.svg
indigo,#274690,png/basisremy_mouse_indigo.png,svg/basisremy_mouse_indigo.svg
violet,#7B2CBF,png/basisremy_mouse_violet.png,svg/basisremy_mouse_violet.svg
periwinkle,#6E7FD1,png/basisremy_mouse_periwinkle.png,svg/basisremy_mouse_periwinkle.svg
blue_violet,#5B4BC4,png/basisremy_mouse_blue_violet.png,svg/basisremy_mouse_blue_violet.svg
lilac,#C77DCE,png/basisremy_mouse_lilac.png,svg/basisremy_mouse_lilac.svg
pastel_pink,#F4A7B9,png/basisremy_mouse_pastel_pink.png,svg/basisremy_mouse_pastel_pink.svg
rose,#E96F8C,png/basisremy_mouse_rose.png,svg/basisremy_mouse_rose.svg
brown,#8B4A16,png/basisremy_mouse_brown.png,svg/basisremy_mouse_brown.svg
chestnut,#9A6B52,png/basisremy_mouse_chestnut.png,svg/basisremy_mouse_chestnut.svg
tan,#B89A70,png/basisremy_mouse_tan.png,svg/basisremy_mouse_tan.svg
beige,#CDBE9A,png/basisremy_mouse_beige.png,svg/basisremy_mouse_beige.svg
sand,#D8B66A,png/basisremy_mouse_sand.png,svg/basisremy_mouse_sand.svg
taupe,#9B8D83,png/basisremy_mouse_taupe.png,svg/basisremy_mouse_taupe.svg
warm_gray,#817B72,png/basisremy_mouse_warm_gray.png,svg/basisremy_mouse_warm_gray.svg
cool_gray,#7A8388,png/basisremy_mouse_cool_gray.png,svg/basisremy_mouse_cool_gray.svg
silver_gray,#A5A9AC,png/basisremy_mouse_silver_gray.png,svg/basisremy_mouse_silver_gray.svg
light_gray,#C8CDD0,png/basisremy_mouse_light_gray.png,svg/basisremy_mouse_light_gray.svg
